2026-09-21 18:08:47,ClearFake,domain,beautyandthebarbershoptx.com,#ClearFake,https://threatfox.abuse.ch/ioc/1926684/
2026-09-21 15:54:26,IClickFix,domain,beinhauer-gastro.de,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926565/
2026-09-21 18:19:06,ClearFake,domain,berakasalon.com,#ClearFake,https://threatfox.abuse.ch/ioc/1926686/
2026-09-21 18:32:02,ClearFake,domain,bibisafricanhairbraids.com,#21September2026 #ClearFake #Commandline #macOS,https://threatfox.abuse.ch/ioc/1926770/
2026-09-21 15:54:26,IClickFix,domain,biuronatalia.pl,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926566/
2026-09-21 17:59:23,ClearFake,domain,boilertreatment.com,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1926677/
2026-09-21 21:49:16,vSkimmer,domain,bookrackjackson.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926860/
2026-09-21 21:49:16,vSkimmer,domain,booksofparadise.net,#skimming #victim,https://threatfox.abuse.ch/ioc/1926861/
2026-09-21 15:05:18,Remcos,domain,boss.noip.at,#remcos,https://bazaar.abuse.ch/sample/7075663c5ad183c4cec1b791c73870ffdad652ba40693a06e43bf711a1e149bb/
2026-09-21 21:49:16,vSkimmer,domain,brooklynbooks.us,#skimming #victim,https://threatfox.abuse.ch/ioc/1926862/
2026-09-21 22:29:31,ClearFake,domain,btcbblil.kkslot.info,#ClearFake #mac-0xdcf2 #macOS,https://threatfox.abuse.ch/ioc/1926917/
2026-09-21 15:54:26,IClickFix,domain,bts-limited.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926567/
2026-09-22 09:02:57,php.shin_webshell,domain,cameji.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927274/
2026-09-21 15:54:27,IClickFix,domain,cancredit.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926568/
2026-09-21 15:54:27,IClickFix,domain,canyongreens.in,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926569/
2026-09-21 21:49:16,vSkimmer,domain,chaparralbooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926863/
2026-09-21 15:54:27,IClickFix,domain,citybnb.ca,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926570/
2026-09-22 08:19:38,ClearFake,domain,cmthns7i.en-xenburn.com,#ClearFake #mac-0x76c7 #macOS,https://threatfox.abuse.ch/ioc/1927259/
2026-09-21 21:49:16,vSkimmer,domain,confettibooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926864/
2026-09-21 15:54:27,IClickFix,domain,consultaventine.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926571/
